,Track Number,Track Title,Album Name,Year Released,Lyric
0,4,Get Into It (Yuh),Planet Her,2021,"b'Yeah, ayy\n'"
1,4,Get Into It (Yuh),Planet Her,2021,"b'Ha, ayy, yeah\n'"
2,4,Get Into It (Yuh),Planet Her,2021,"b'They say I just got a buck, uh\n'"
3,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
4,4,Get Into It (Yuh),Planet Her,2021,"b'Pop out with a truck, ha\n'"
5,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh (Yuh)\n'"
6,4,Get Into It (Yuh),Planet Her,2021,b'If you go to church\n'
7,4,Get Into It (Yuh),Planet Her,2021,"b'I said get into it,\xe2\x81\x9fyuh\n'"
8,4,Get Into It (Yuh),Planet Her,2021,"b""If\xe2\x81\x9fshe\xe2\x81\x9fain't got a\xe2\x81\x9fbutt\n"""
9,4,Get Into It (Yuh),Planet Her,2021,"b'Nah, fuck it,\xe2\x81\x9fget into it, yuh\n'"
10,4,Get Into It (Yuh),Planet Her,2021,b'And I say I just got a buck\n'
11,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
12,4,Get Into It (Yuh),Planet Her,2021,b'Pop out with a truck\n'
13,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
14,4,Get Into It (Yuh),Planet Her,2021,b'If you go to church\n'
15,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
16,4,Get Into It (Yuh),Planet Her,2021,"b""If she ain't got a butt\n"""
17,4,Get Into It (Yuh),Planet Her,2021,"b'Fuck it, get into it, yuh\n'"
18,4,Get Into It (Yuh),Planet Her,2021,"b'Yeah, you just wanna party, you just wanna lap dance\n'"
19,4,Get Into It (Yuh),Planet Her,2021,"b""You just wanna pop up on these clowns like you're the Batman\n"""
20,4,Get Into It (Yuh),Planet Her,2021,b'You just wanna ball out in designer with your best friends\n'
21,4,Get Into It (Yuh),Planet Her,2021,"b""You don't wanna talk no more about it in the past tense\n"""
22,4,Get Into It (Yuh),Planet Her,2021,"b""Get me out my zone, I'm just talkin' comfort, shawty\n"""
23,4,Get Into It (Yuh),Planet Her,2021,"b""I ain't give you nothin' you could come for, shawty\n"""
24,4,Get Into It (Yuh),Planet Her,2021,"b'I got plenty things you make a run for, shawty\n'"
25,4,Get Into It (Yuh),Planet Her,2021,"b'Call him Ed Sheeran, he in love with my body\n'"
26,4,Get Into It (Yuh),Planet Her,2021,"b'They say I just got a buck, uh\n'"
27,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
28,4,Get Into It (Yuh),Planet Her,2021,"b'Pop out with a truck, ha\n'"
29,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh (Yuh)\n'"
30,4,Get Into It (Yuh),Planet Her,2021,b'If you go to church\n'
31,4,Get Into It (Yuh),Planet Her,2021,"b'I said get into it, yuh\n'"
32,4,Get Into It (Yuh),Planet Her,2021,"b""If she ain't got a butt\n"""
33,4,Get Into It (Yuh),Planet Her,2021,"b'Nah, fuck it, g\xd0\xb5t into it, yuh\n'"
34,4,Get Into It (Yuh),Planet Her,2021,b'And I say I just got a buck\n'
35,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
36,4,Get Into It (Yuh),Planet Her,2021,b'Pop out with a truck\n'
37,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
38,4,Get Into It (Yuh),Planet Her,2021,b'If you go to church\n'
39,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
40,4,Get Into It (Yuh),Planet Her,2021,"b""If sh\xd0\xb5 ain't got a butt\n"""
41,4,Get Into It (Yuh),Planet Her,2021,"b'Fuck it, get into it, yuh\n'"
42,4,Get Into It (Yuh),Planet Her,2021,b'You might also like\n'
43,4,Get Into It (Yuh),Planet Her,2021,"b""Y'all need to get into the drip like a piranha\n"""
44,4,Get Into It (Yuh),Planet Her,2021,"b""Y'all need to get into my drip like y'all need water\n"""
45,4,Get Into It (Yuh),Planet Her,2021,"b""Y'all need to get into my drip like y'all need water\n"""
46,4,Get Into It (Yuh),Planet Her,2021,"b""I mean, it's only head to toe Balenciaga\n"""
47,4,Get Into It (Yuh),Planet Her,2021,"b'I mean, y\'all bitches better ""yuh"" like Ariana\n'"
48,4,Get Into It (Yuh),Planet Her,2021,"b'If they ever tryna knock her, put my foot up in your caca\n'"
49,4,Get Into It (Yuh),Planet Her,2021,"b""Call your mama and your papa like I'm finna take your daughter\n"""
50,4,Get Into It (Yuh),Planet Her,2021,"b'Turn that bitch into a soccer ball and rocka, rocka, rocka (Brrr)\n'"
51,4,Get Into It (Yuh),Planet Her,2021,b'Get into it like a suit and fuck a stock up like a broker\n'
52,4,Get Into It (Yuh),Planet Her,2021,b'They say I just got a buck (Yuh)\n'
53,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh (Ayy)\n'"
54,4,Get Into It (Yuh),Planet Her,2021,"b'Pop out with a truck, ha\n'"
55,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh (Pop out, pop out)\n'"
56,4,Get Into It (Yuh),Planet Her,2021,b'If you go to church\n'
57,4,Get Into It (Yuh),Planet Her,2021,"b'I said get into it, yuh\n'"
58,4,Get Into It (Yuh),Planet Her,2021,"b""If she ain't got a butt\n"""
59,4,Get Into It (Yuh),Planet Her,2021,"b'Nah, fuck it, get into it, yuh\n'"
60,4,Get Into It (Yuh),Planet Her,2021,b'And I say I just got a buck (Ayy)\n'
61,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh\n'"
62,4,Get Into It (Yuh),Planet Her,2021,b'Pop out with a truck\n'
63,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh (Yeah)\n'"
64,4,Get Into It (Yuh),Planet Her,2021,b'If you go to church\n'
65,4,Get Into It (Yuh),Planet Her,2021,"b'Get into it, yuh (Go to church)\n'"
66,4,Get Into It (Yuh),Planet Her,2021,"b""If she ain't got a butt\n"""
67,4,Get Into It (Yuh),Planet Her,2021,"b'Fuck it, get into it, yuh\n'"
68,4,Get Into It (Yuh),Planet Her,2021,"b'(Yeah, yeah, yeah, yeah)\n'"
69,4,Get Into It (Yuh),Planet Her,2021,"b'Thank you, Nicki, I love you\n'"
70,4,Get Into It (Yuh),Planet Her,2021,b'Got that big rocket launcher!\n'
